Easting,Northing,Elevation,Name
103706.544,193871.43,53.821,4
103656.544,193878.93,53.821,5
103669.044,193878.93,53.821,6
103681.544,193878.93,53.821,7
103694.044,193878.93,53.821,8
103706.544,193878.93,53.821,9
103656.544,193886.43,53.821,10
103669.044,193886.43,53.821,11
103681.544,193886.43,53.821,12
103694.044,193886.43,53.821,13
103706.544,193886.43,53.821,14
103656.544,193893.93,53.821,15
103669.044,193893.93,53.821,16
103681.544,193893.93,53.821,17
103694.044,193893.93,53.821,18
103706.544,193893.93,53.821,19
103656.544,193901.43,53.821,20
103669.044,193901.43,53.821,21
103681.544,193901.43,53.821,22
103694.044,193901.43,53.821,23
103706.544,193901.43,53.821,24
